x    y
-inf 0.000000000000000000e+00
1.665514139999999941e+02 1.111111111111111110e-03
1.670628100000000131e+02 2.222222222222222220e-03
1.673405549999999948e+02 3.333333333333333114e-03
1.673512130000000013e+02 4.444444444444444441e-03
1.676711860000000058e+02 5.555555555555555768e-03
1.683780370000000062e+02 6.666666666666667095e-03
1.690463489999999922e+02 7.777777777777777554e-03
1.696306889999999896e+02 8.888888888888888881e-03
1.698403940000000034e+02 1.000000000000000021e-02
1.703771869999999922e+02 1.111111111111111154e-02
1.705371240000000057e+02 1.222222222222222286e-02
1.706728369999999870e+02 1.333333333333333419e-02
1.714858879999999886e+02 1.444444444444444378e-02
1.715109730000000070e+02 1.555555555555555511e-02
1.716287309999999877e+02 1.666666666666666644e-02
1.718914350000000013e+02 1.777777777777777776e-02
1.720622989999999959e+02 1.888888888888888909e-02
1.724161459999999977e+02 2.000000000000000042e-02
1.725756660000000124e+02 2.111111111111111174e-02
1.725882619999999861e+02 2.222222222222222307e-02
1.727359370000000069e+02 2.333333333333333440e-02
1.728103580000000079e+02 2.444444444444444572e-02
1.732048550000000091e+02 2.555555555555555705e-02
1.733229230000000030e+02 2.666666666666666838e-02
1.733690789999999993e+02 2.777777777777777624e-02
1.734052399999999921e+02 2.888888888888888756e-02
1.736465300000000127e+02 2.999999999999999889e-02
1.740415710000000047e+02 3.111111111111111022e-02
1.741690790000000106e+02 3.222222222222222154e-02
1.743133559999999989e+02 3.333333333333333287e-02
1.755897229999999922e+02 3.444444444444444420e-02
1.757933030000000088e+02 3.555555555555555552e-02
1.758634989999999902e+02 3.666666666666666685e-02
1.760354179999999928e+02 3.777777777777777818e-02
1.770714609999999993e+02 3.888888888888888951e-02
1.772682259999999985e+02 4.000000000000000083e-02
1.772873519999999985e+02 4.111111111111111216e-02
1.772960620000000063e+02 4.222222222222222349e-02
1.777476650000000120e+02 4.333333333333333481e-02
1.782291800000000137e+02 4.444444444444444614e-02
1.782317529999999977e+02 4.555555555555555747e-02
1.783440479999999866e+02 4.666666666666666879e-02
1.784288239999999917e+02 4.777777777777778012e-02
1.786075409999999977e+02 4.888888888888889145e-02
1.787810589999999991e+02 5.000000000000000278e-02
1.787843579999999974e+02 5.111111111111111410e-02
1.788588970000000131e+02 5.222222222222222543e-02
1.788676959999999951e+02 5.333333333333333676e-02
1.792057670000000087e+02 5.444444444444444114e-02
1.793948249999999973e+02 5.555555555555555247e-02
1.794863609999999881e+02 5.666666666666666380e-02
1.796350070000000017e+02 5.777777777777777513e-02
1.796944330000000036e+02 5.888888888888888645e-02
1.798247069999999894e+02 5.999999999999999778e-02
1.798297149999999931e+02 6.111111111111110911e-02
1.799092550000000017e+02 6.222222222222222043e-02
1.799157999999999902e+02 6.333333333333332482e-02
1.799994360000000029e+02 6.444444444444444309e-02
1.800508279999999957e+02 6.555555555555554748e-02
1.800584900000000061e+02 6.666666666666666574e-02
1.804210280000000068e+02 6.777777777777777013e-02
1.804911559999999895e+02 6.888888888888888840e-02
1.805047739999999976e+02 6.999999999999999278e-02
1.805760689999999897e+02 7.111111111111111105e-02
1.805869639999999947e+02 7.222222222222221544e-02
1.806282630000000040e+02 7.333333333333331983e-02
1.807966560000000129e+02 7.444444444444443809e-02
1.808727939999999990e+02 7.555555555555554248e-02
1.810060510000000136e+02 7.666666666666666075e-02
1.810113090000000113e+02 7.777777777777776513e-02
1.810306150000000116e+02 7.888888888888888340e-02
1.810986680000000035e+02 7.999999999999998779e-02
1.811810350000000085e+02 8.111111111111110605e-02
1.812852019999999982e+02 8.222222222222221044e-02
1.813885679999999923e+02 8.333333333333332871e-02
1.814937649999999962e+02 8.444444444444443310e-02
1.815208159999999964e+02 8.555555555555555136e-02
1.815986029999999971e+02 8.666666666666665575e-02
1.816054949999999906e+02 8.777777777777777402e-02
1.816435419999999965e+02 8.888888888888887840e-02
1.816706059999999923e+02 8.999999999999999667e-02
1.817895469999999989e+02 9.111111111111110106e-02
1.818000030000000038e+02 9.222222222222221932e-02
1.819531629999999893e+02 9.333333333333332371e-02
1.820664020000000107e+02 9.444444444444444198e-02
1.822320850000000121e+02 9.555555555555554637e-02
1.823751670000000047e+02 9.666666666666666463e-02
1.824240529999999865e+02 9.777777777777776902e-02
1.824547599999999932e+02 9.888888888888888729e-02
1.825268949999999961e+02 9.999999999999999167e-02
1.825595109999999863e+02 1.011111111111111099e-01
1.825660970000000134e+02 1.022222222222222143e-01
1.826471750000000043e+02 1.033333333333333326e-01
1.826571570000000122e+02 1.044444444444444370e-01
1.827087160000000097e+02 1.055555555555555552e-01
1.828085509999999942e+02 1.066666666666666596e-01
1.828505260000000021e+02 1.077777777777777640e-01
1.828676490000000001e+02 1.088888888888888823e-01
1.828822270000000003e+02 1.099999999999999867e-01
1.828970700000000136e+02 1.111111111111111049e-01
1.829697119999999870e+02 1.122222222222222093e-01
1.829996460000000127e+02 1.133333333333333276e-01
1.830023960000000045e+02 1.144444444444444320e-01
1.830081539999999904e+02 1.155555555555555503e-01
1.830431780000000117e+02 1.166666666666666546e-01
1.830896229999999889e+02 1.177777777777777729e-01
1.831472009999999955e+02 1.188888888888888773e-01
1.831987589999999955e+02 1.199999999999999956e-01
1.832342390000000023e+02 1.211111111111110999e-01
1.833225140000000124e+02 1.222222222222222182e-01
1.833701629999999909e+02 1.233333333333333226e-01
1.833957069999999874e+02 1.244444444444444409e-01
1.835248579999999947e+02 1.255555555555555591e-01
1.835588559999999916e+02 1.266666666666666774e-01
1.836132320000000107e+02 1.277777777777777957e-01
1.836150039999999990e+02 1.288888888888888862e-01
1.837312149999999917e+02 1.300000000000000044e-01
1.838660710000000051e+02 1.311111111111111227e-01
1.839978309999999908e+02 1.322222222222222410e-01
1.840199690000000032e+02 1.333333333333333315e-01
1.841066189999999949e+02 1.344444444444444497e-01
1.841891630000000077e+02 1.355555555555555680e-01
1.842559610000000134e+02 1.366666666666666863e-01
1.843598639999999875e+02 1.377777777777777768e-01
1.843860789999999952e+02 1.388888888888888951e-01
1.844044639999999902e+02 1.400000000000000133e-01
1.844067340000000002e+02 1.411111111111111316e-01
1.845130959999999902e+02 1.422222222222222221e-01
1.845350679999999954e+02 1.433333333333333404e-01
1.847507400000000075e+02 1.444444444444444586e-01
1.848886569999999949e+02 1.455555555555555491e-01
1.849091809999999896e+02 1.466666666666666674e-01
1.849463470000000029e+02 1.477777777777777857e-01
1.850201270000000022e+02 1.488888888888889039e-01
1.850657520000000034e+02 1.499999999999999944e-01
1.851505239999999901e+02 1.511111111111111127e-01
1.851566679999999963e+02 1.522222222222222310e-01
1.852718779999999867e+02 1.533333333333333492e-01
1.855507409999999879e+02 1.544444444444444398e-01
1.855632669999999962e+02 1.555555555555555580e-01
1.856184969999999907e+02 1.566666666666666763e-01
1.856954599999999971e+02 1.577777777777777946e-01
1.857637369999999919e+02 1.588888888888888851e-01
1.857727570000000128e+02 1.600000000000000033e-01
1.858204920000000016e+02 1.611111111111111216e-01
1.859033809999999960e+02 1.622222222222222399e-01
1.859483960000000025e+02 1.633333333333333304e-01
1.859568490000000054e+02 1.644444444444444486e-01
1.859807889999999873e+02 1.655555555555555669e-01
1.860506179999999858e+02 1.666666666666666852e-01
1.860683099999999968e+02 1.677777777777777757e-01
1.860724390000000028e+02 1.688888888888888939e-01
1.861256370000000118e+02 1.700000000000000122e-01
1.863059309999999869e+02 1.711111111111111305e-01
1.863820289999999886e+02 1.722222222222222210e-01
1.865142909999999858e+02 1.733333333333333393e-01
1.866153810000000135e+02 1.744444444444444575e-01
1.866662499999999909e+02 1.755555555555555758e-01
1.866715059999999937e+02 1.766666666666666663e-01
1.867326840000000061e+02 1.777777777777777846e-01
1.867417790000000082e+02 1.788888888888889028e-01
1.868579349999999977e+02 1.799999999999999933e-01
1.868699340000000007e+02 1.811111111111111116e-01
1.868911280000000090e+02 1.822222222222222299e-01
1.871024800000000141e+02 1.833333333333333481e-01
1.871069070000000067e+02 1.844444444444444386e-01
1.871284300000000087e+02 1.855555555555555569e-01
1.871288140000000055e+02 1.866666666666666752e-01
1.872563340000000096e+02 1.877777777777777934e-01
1.872641169999999988e+02 1.888888888888888840e-01
1.874277170000000012e+02 1.900000000000000022e-01
1.874389590000000112e+02 1.911111111111111205e-01
1.874653879999999901e+02 1.922222222222222388e-01
1.874806450000000098e+02 1.933333333333333293e-01
1.875395039999999938e+02 1.944444444444444475e-01
1.877061659999999961e+02 1.955555555555555658e-01
1.877408440000000098e+02 1.966666666666666841e-01
1.877533270000000130e+02 1.977777777777777746e-01
1.878701509999999928e+02 1.988888888888888928e-01
1.880557609999999897e+02 2.000000000000000111e-01
1.880827679999999873e+02 2.011111111111111294e-01
1.881963340000000073e+02 2.022222222222222199e-01
1.882316170000000000e+02 2.033333333333333381e-01
1.882745099999999923e+02 2.044444444444444564e-01
1.883012510000000077e+02 2.055555555555555747e-01
1.884351379999999949e+02 2.066666666666666652e-01
1.884697779999999909e+02 2.077777777777777835e-01
1.884857250000000022e+02 2.088888888888889017e-01
1.885311299999999903e+02 2.100000000000000200e-01
1.886501519999999914e+02 2.111111111111111105e-01
1.887484210000000076e+02 2.122222222222222288e-01
1.887642460000000142e+02 2.133333333333333470e-01
1.889091019999999901e+02 2.144444444444444375e-01
1.889513990000000092e+02 2.155555555555555558e-01
1.889930310000000020e+02 2.166666666666666741e-01
1.891350459999999885e+02 2.177777777777777923e-01
1.893252569999999935e+02 2.188888888888888828e-01
1.893978820000000098e+02 2.200000000000000011e-01
1.894938950000000091e+02 2.211111111111111194e-01
1.895050880000000006e+02 2.222222222222222376e-01
1.895404739999999890e+02 2.233333333333333282e-01
1.895595869999999934e+02 2.244444444444444464e-01
1.895877350000000092e+02 2.255555555555555647e-01
