x   y
-inf 0.000000000000000000e+00
6.626762899999999945e+01 1.428571428571428570e-03
6.775987100000000396e+01 2.857142857142857140e-03
6.923428400000000238e+01 4.285714285714285927e-03
7.214324799999999982e+01 5.714285714285714281e-03
7.336387399999999559e+01 7.142857142857142634e-03
7.616859700000000544e+01 8.571428571428571855e-03
7.740995200000000409e+01 1.000000000000000021e-02
7.759825399999999718e+01 1.142857142857142856e-02
7.819932900000000586e+01 1.285714285714285691e-02
7.832995599999999570e+01 1.428571428571428527e-02
7.858194000000000301e+01 1.571428571428571536e-02
7.862974699999999473e+01 1.714285714285714371e-02
7.913303100000000256e+01 1.857142857142857206e-02
7.928603300000000331e+01 2.000000000000000042e-02
7.947141899999999737e+01 2.142857142857142877e-02
7.947467500000000484e+01 2.285714285714285712e-02
8.063768600000000220e+01 2.428571428571428548e-02
8.160505600000000470e+01 2.571428571428571383e-02
8.207313999999999510e+01 2.714285714285714218e-02
8.220977999999999497e+01 2.857142857142857054e-02
8.319834099999999921e+01 2.999999999999999889e-02
8.357061299999999449e+01 3.142857142857143071e-02
8.369932900000000586e+01 3.285714285714286254e-02
8.376585099999999784e+01 3.428571428571428742e-02
8.392358400000000529e+01 3.571428571428571924e-02
8.407266300000000570e+01 3.714285714285714413e-02
8.418605999999999767e+01 3.857142857142857595e-02
8.447946199999999806e+01 4.000000000000000083e-02
8.456005100000000141e+01 4.142857142857143266e-02
8.466370299999999816e+01 4.285714285714285754e-02
8.549119799999999714e+01 4.428571428571428936e-02
8.557627200000000300e+01 4.571428571428571425e-02
8.562672299999999836e+01 4.714285714285714607e-02
8.577229300000000478e+01 4.857142857142857789e-02
8.625686199999999815e+01 5.000000000000000278e-02
8.668455600000000061e+01 5.142857142857143460e-02
8.756773699999999394e+01 5.285714285714285948e-02
8.773519600000000196e+01 5.428571428571429131e-02
8.776610200000000361e+01 5.571428571428571619e-02
8.830161999999999978e+01 5.714285714285714801e-02
8.844427399999999295e+01 5.857142857142857290e-02
8.860069000000000017e+01 6.000000000000000472e-02
8.877309400000000039e+01 6.142857142857142960e-02
8.919661299999999926e+01 6.285714285714286143e-02
8.954538999999999760e+01 6.428571428571429325e-02
8.984970699999999511e+01 6.571428571428571119e-02
8.998537299999999561e+01 6.714285714285714302e-02
9.028795100000000673e+01 6.857142857142857484e-02
9.045618500000000495e+01 7.000000000000000666e-02
9.061905400000000554e+01 7.142857142857143848e-02
