x    y
-inf 0.000000000000000000e+00
1.887992040000000031e+02 1.250000000000000026e-03
1.936804779999999937e+02 2.500000000000000052e-03
2.002502360000000010e+02 3.749999999999999861e-03
2.028059880000000135e+02 5.000000000000000104e-03
2.037404439999999965e+02 6.250000000000000347e-03
2.037866899999999930e+02 7.500000000000000590e-03
2.052658050000000003e+02 8.749999999999999098e-03
2.053922990000000084e+02 1.000000000000000021e-02
2.066960149999999885e+02 1.124999999999999958e-02
2.071875159999999880e+02 1.249999999999999896e-02
2.071903869999999870e+02 1.375000000000000007e-02
2.079018350000000055e+02 1.499999999999999944e-02
2.086682230000000118e+02 1.625000000000000056e-02
2.088193070000000091e+02 1.750000000000000167e-02
2.099207550000000140e+02 1.875000000000000278e-02
2.105447639999999865e+02 2.000000000000000042e-02
2.112765960000000121e+02 2.125000000000000153e-02
2.114158600000000092e+02 2.250000000000000264e-02
2.116235959999999920e+02 2.375000000000000028e-02
2.118038650000000018e+02 2.500000000000000139e-02
2.119409609999999873e+02 2.625000000000000250e-02
2.124075609999999870e+02 2.750000000000000014e-02
2.125537579999999878e+02 2.875000000000000125e-02
2.129703279999999950e+02 3.000000000000000236e-02
2.131736319999999978e+02 3.125000000000000000e-02
2.132280179999999916e+02 3.250000000000000111e-02
2.134239399999999875e+02 3.375000000000000222e-02
2.136504250000000127e+02 3.500000000000000333e-02
2.139965170000000114e+02 3.625000000000000444e-02
2.140376369999999895e+02 3.749999999999999861e-02
2.143285480000000121e+02 3.874999999999999972e-02
2.144539990000000103e+02 4.000000000000000083e-02
2.145897940000000119e+02 4.125000000000000194e-02
2.149466409999999996e+02 4.250000000000000305e-02
2.151401370000000099e+02 4.375000000000000416e-02
2.152018730000000062e+02 4.500000000000000527e-02
2.156905669999999873e+02 4.624999999999999944e-02
2.157644200000000012e+02 4.750000000000000056e-02
2.158679869999999994e+02 4.875000000000000167e-02
2.158731459999999913e+02 5.000000000000000278e-02
2.162995970000000057e+02 5.125000000000000389e-02
2.164446289999999919e+02 5.250000000000000500e-02
