x    y
-inf 0.000000000000000000e+00
3.904746870000000172e+02 1.111111111111111110e-03
4.068214259999999740e+02 2.222222222222222220e-03
4.074990920000000187e+02 3.333333333333333114e-03
4.111627399999999852e+02 4.444444444444444441e-03
4.124900569999999789e+02 5.555555555555555768e-03
4.129253229999999917e+02 6.666666666666667095e-03
4.166729710000000182e+02 7.777777777777777554e-03
4.178546430000000100e+02 8.888888888888888881e-03
4.189545469999999909e+02 1.000000000000000021e-02
4.193707329999999729e+02 1.111111111111111154e-02
4.195848300000000108e+02 1.222222222222222286e-02
4.196929430000000139e+02 1.333333333333333419e-02
4.208323950000000195e+02 1.444444444444444378e-02
4.215975999999999999e+02 1.555555555555555511e-02
4.219742489999999862e+02 1.666666666666666644e-02
4.226726560000000177e+02 1.777777777777777776e-02
4.246478430000000230e+02 1.888888888888888909e-02
4.261121800000000235e+02 2.000000000000000042e-02
4.261949599999999805e+02 2.111111111111111174e-02
4.264076620000000162e+02 2.222222222222222307e-02
4.267179039999999759e+02 2.333333333333333440e-02
4.272913679999999772e+02 2.444444444444444572e-02
4.277354619999999841e+02 2.555555555555555705e-02
4.282031259999999975e+02 2.666666666666666838e-02
4.282469130000000064e+02 2.777777777777777624e-02
4.283604240000000232e+02 2.888888888888888756e-02
4.289494950000000131e+02 2.999999999999999889e-02
4.295950700000000211e+02 3.111111111111111022e-02
4.304618760000000179e+02 3.222222222222222154e-02
4.306255889999999908e+02 3.333333333333333287e-02
4.311400629999999978e+02 3.444444444444444420e-02
4.314419940000000224e+02 3.555555555555555552e-02
4.315260430000000156e+02 3.666666666666666685e-02
4.318179600000000278e+02 3.777777777777777818e-02
4.322372679999999718e+02 3.888888888888888951e-02
4.325009529999999813e+02 4.000000000000000083e-02
4.326287669999999821e+02 4.111111111111111216e-02
4.336873879999999986e+02 4.222222222222222349e-02
4.347803279999999972e+02 4.333333333333333481e-02
4.347858289999999784e+02 4.444444444444444614e-02
4.351634109999999964e+02 4.555555555555555747e-02
4.354495009999999979e+02 4.666666666666666879e-02
4.354984400000000164e+02 4.777777777777778012e-02
4.361393560000000207e+02 4.888888888888889145e-02
4.372737910000000170e+02 5.000000000000000278e-02
4.372948979999999892e+02 5.111111111111111410e-02
4.375363960000000247e+02 5.222222222222222543e-02
4.380175730000000272e+02 5.333333333333333676e-02
4.383206890000000158e+02 5.444444444444444114e-02
4.387448430000000030e+02 5.555555555555555247e-02
4.391931670000000167e+02 5.666666666666666380e-02
4.393528729999999882e+02 5.777777777777777513e-02
4.394866599999999721e+02 5.888888888888888645e-02
4.401639099999999871e+02 5.999999999999999778e-02
4.404984230000000025e+02 6.111111111111110911e-02
4.406051689999999894e+02 6.222222222222222043e-02
4.406194859999999949e+02 6.333333333333332482e-02
4.410133920000000103e+02 6.444444444444444309e-02
4.413128350000000069e+02 6.555555555555554748e-02
4.413861630000000105e+02 6.666666666666666574e-02
4.419687049999999999e+02 6.777777777777777013e-02
4.426962540000000104e+02 6.888888888888888840e-02
4.428678560000000175e+02 6.999999999999999278e-02
4.428694100000000162e+02 7.111111111111111105e-02
4.428940119999999752e+02 7.222222222222221544e-02
4.430023990000000254e+02 7.333333333333331983e-02
4.430027579999999716e+02 7.444444444444443809e-02
4.431386759999999754e+02 7.555555555555554248e-02
4.433179400000000214e+02 7.666666666666666075e-02
4.435125879999999938e+02 7.777777777777776513e-02
4.436294179999999869e+02 7.888888888888888340e-02
4.442339230000000043e+02 7.999999999999998779e-02
4.443367039999999974e+02 8.111111111111110605e-02
4.443496660000000134e+02 8.222222222222221044e-02
4.444879720000000134e+02 8.333333333333332871e-02
4.450333769999999731e+02 8.444444444444443310e-02
4.453374249999999961e+02 8.555555555555555136e-02
4.454808479999999804e+02 8.666666666666665575e-02
4.455509650000000192e+02 8.777777777777777402e-02
4.456316289999999753e+02 8.888888888888887840e-02
4.457818020000000274e+02 8.999999999999999667e-02
4.462595109999999750e+02 9.111111111111110106e-02
4.464301619999999957e+02 9.222222222222221932e-02
4.464516090000000190e+02 9.333333333333332371e-02
4.464571829999999864e+02 9.444444444444444198e-02
4.464682399999999802e+02 9.555555555555554637e-02
4.465538199999999733e+02 9.666666666666666463e-02
4.465910139999999728e+02 9.777777777777776902e-02
4.466836940000000027e+02 9.888888888888888729e-02
4.467021030000000223e+02 9.999999999999999167e-02
4.475951039999999921e+02 1.011111111111111099e-01
4.477654580000000237e+02 1.022222222222222143e-01
4.486732099999999832e+02 1.033333333333333326e-01
4.491876700000000255e+02 1.044444444444444370e-01
4.492058969999999931e+02 1.055555555555555552e-01
4.494848890000000097e+02 1.066666666666666596e-01
4.500954960000000256e+02 1.077777777777777640e-01
4.501239590000000135e+02 1.088888888888888823e-01
4.501335789999999974e+02 1.099999999999999867e-01
4.502568059999999832e+02 1.111111111111111049e-01
4.503257039999999733e+02 1.122222222222222093e-01
4.503324079999999867e+02 1.133333333333333276e-01
4.503967069999999921e+02 1.144444444444444320e-01
4.504427739999999858e+02 1.155555555555555503e-01
4.507179970000000253e+02 1.166666666666666546e-01
4.508192829999999844e+02 1.177777777777777729e-01
4.508477340000000027e+02 1.188888888888888773e-01
4.511853530000000205e+02 1.199999999999999956e-01
4.512339190000000144e+02 1.211111111111110999e-01
4.514043490000000247e+02 1.222222222222222182e-01
4.515924739999999815e+02 1.233333333333333226e-01
4.516606850000000009e+02 1.244444444444444409e-01
4.516738550000000032e+02 1.255555555555555591e-01
4.517117920000000026e+02 1.266666666666666774e-01
4.518541290000000004e+02 1.277777777777777957e-01
4.518874470000000088e+02 1.288888888888888862e-01
4.526379200000000083e+02 1.300000000000000044e-01
4.526496450000000209e+02 1.311111111111111227e-01
4.528001409999999964e+02 1.322222222222222410e-01
4.530102669999999989e+02 1.333333333333333315e-01
4.535174059999999940e+02 1.344444444444444497e-01
4.535965140000000133e+02 1.355555555555555680e-01
4.536040459999999825e+02 1.366666666666666863e-01
4.536333890000000224e+02 1.377777777777777768e-01
4.538519539999999779e+02 1.388888888888888951e-01
4.541245040000000017e+02 1.400000000000000133e-01
4.541779819999999859e+02 1.411111111111111316e-01
4.541983030000000099e+02 1.422222222222222221e-01
4.543042009999999777e+02 1.433333333333333404e-01
4.544057680000000232e+02 1.444444444444444586e-01
4.544364719999999807e+02 1.455555555555555491e-01
4.544850940000000037e+02 1.466666666666666674e-01
4.545088809999999739e+02 1.477777777777777857e-01
4.545347199999999930e+02 1.488888888888889039e-01
4.545529599999999846e+02 1.499999999999999944e-01
4.545734739999999761e+02 1.511111111111111127e-01
4.545738939999999957e+02 1.522222222222222310e-01
4.548571360000000254e+02 1.533333333333333492e-01
4.549116809999999873e+02 1.544444444444444398e-01
4.549244969999999739e+02 1.555555555555555580e-01
4.551065970000000220e+02 1.566666666666666763e-01
4.551102880000000255e+02 1.577777777777777946e-01
4.552017940000000067e+02 1.588888888888888851e-01
4.552713919999999916e+02 1.600000000000000033e-01
4.552892870000000016e+02 1.611111111111111216e-01
4.553489700000000084e+02 1.622222222222222399e-01
4.554195639999999798e+02 1.633333333333333304e-01
4.557488870000000247e+02 1.644444444444444486e-01
4.557995779999999968e+02 1.655555555555555669e-01
4.559034219999999777e+02 1.666666666666666852e-01
4.559422170000000278e+02 1.677777777777777757e-01
4.561191919999999982e+02 1.688888888888888939e-01
4.562484880000000089e+02 1.700000000000000122e-01
4.566722090000000094e+02 1.711111111111111305e-01
4.568740230000000224e+02 1.722222222222222210e-01
4.571204290000000015e+02 1.733333333333333393e-01
4.572283580000000143e+02 1.744444444444444575e-01
4.572357000000000085e+02 1.755555555555555758e-01
4.574834650000000238e+02 1.766666666666666663e-01
4.575593969999999899e+02 1.777777777777777846e-01
4.575685119999999984e+02 1.788888888888889028e-01
4.575832300000000146e+02 1.799999999999999933e-01
4.576200529999999844e+02 1.811111111111111116e-01
4.577932660000000169e+02 1.822222222222222299e-01
4.582151309999999853e+02 1.833333333333333481e-01
4.582580290000000218e+02 1.844444444444444386e-01
4.583242579999999862e+02 1.855555555555555569e-01
4.584235649999999964e+02 1.866666666666666752e-01
4.585031319999999937e+02 1.877777777777777934e-01
4.585595349999999826e+02 1.888888888888888840e-01
4.589984360000000265e+02 1.900000000000000022e-01
4.590384609999999839e+02 1.911111111111111205e-01
4.591445630000000051e+02 1.922222222222222388e-01
4.592682179999999903e+02 1.933333333333333293e-01
4.593632549999999810e+02 1.944444444444444475e-01
4.593814580000000092e+02 1.955555555555555658e-01
4.596883869999999774e+02 1.966666666666666841e-01
4.597643190000000004e+02 1.977777777777777746e-01
4.599816329999999880e+02 1.988888888888888928e-01
4.599855000000000018e+02 2.000000000000000111e-01
4.600191929999999729e+02 2.011111111111111294e-01
4.601633669999999938e+02 2.022222222222222199e-01
4.602727170000000001e+02 2.033333333333333381e-01
4.604180309999999849e+02 2.044444444444444564e-01
4.605558330000000069e+02 2.055555555555555747e-01
4.607044819999999845e+02 2.066666666666666652e-01
4.608149950000000104e+02 2.077777777777777835e-01
4.610995550000000094e+02 2.088888888888889017e-01
4.611944300000000112e+02 2.100000000000000200e-01
4.612472210000000246e+02 2.111111111111111105e-01
4.614598389999999881e+02 2.122222222222222288e-01
4.614957350000000247e+02 2.133333333333333470e-01
4.615917630000000145e+02 2.144444444444444375e-01
4.616585590000000252e+02 2.155555555555555558e-01
4.617533799999999928e+02 2.166666666666666741e-01
4.618162859999999910e+02 2.177777777777777923e-01
4.618783220000000256e+02 2.188888888888888828e-01
4.619764509999999973e+02 2.200000000000000011e-01
4.623534599999999841e+02 2.211111111111111194e-01
4.623603289999999788e+02 2.222222222222222376e-01
4.625106010000000083e+02 2.233333333333333282e-01
4.625311399999999935e+02 2.244444444444444464e-01
4.626005759999999896e+02 2.255555555555555647e-01
4.626270719999999983e+02 2.266666666666666829e-01
4.627462070000000267e+02 2.277777777777777735e-01
4.628145959999999945e+02 2.288888888888888917e-01
4.629462020000000280e+02 2.300000000000000100e-01
4.630125530000000253e+02 2.311111111111111283e-01
4.630733999999999924e+02 2.322222222222222188e-01
4.631216210000000046e+02 2.333333333333333370e-01
4.632592769999999973e+02 2.344444444444444553e-01
4.632616520000000264e+02 2.355555555555555736e-01
4.633881620000000225e+02 2.366666666666666641e-01
4.633966270000000236e+02 2.377777777777777823e-01
4.634444320000000062e+02 2.388888888888889006e-01
4.634934250000000020e+02 2.400000000000000189e-01
4.638513619999999946e+02 2.411111111111111094e-01
4.639900680000000079e+02 2.422222222222222276e-01
4.640346620000000257e+02 2.433333333333333459e-01
4.640980769999999893e+02 2.444444444444444642e-01
4.641283779999999979e+02 2.455555555555555547e-01
4.643748239999999896e+02 2.466666666666666730e-01
4.645100219999999922e+02 2.477777777777777912e-01
4.646336230000000000e+02 2.488888888888889095e-01
4.646856649999999718e+02 2.500000000000000000e-01
4.646938759999999888e+02 2.511111111111111183e-01
4.651877549999999815e+02 2.522222222222222365e-01
4.652958199999999920e+02 2.533333333333333548e-01
4.653012499999999818e+02 2.544444444444444731e-01
4.654594789999999875e+02 2.555555555555555358e-01
4.654666690000000244e+02 2.566666666666666541e-01
4.656285579999999982e+02 2.577777777777777724e-01
4.658165190000000280e+02 2.588888888888888906e-01
4.658919030000000134e+02 2.600000000000000089e-01
4.659043379999999956e+02 2.611111111111111271e-01
4.659903120000000172e+02 2.622222222222222454e-01
4.661753729999999791e+02 2.633333333333333637e-01
4.663595910000000231e+02 2.644444444444444264e-01
4.664345260000000053e+02 2.655555555555555447e-01
4.665119690000000219e+02 2.666666666666666630e-01
4.665595799999999826e+02 2.677777777777777812e-01
