x    y
-inf 0.000000000000000000e+00
1.393606859999999870e+02 2.000000000000000042e-03
1.432384859999999946e+02 4.000000000000000083e-03
1.434199110000000132e+02 6.000000000000000125e-03
1.485309349999999995e+02 8.000000000000000167e-03
1.496388939999999934e+02 1.000000000000000021e-02
1.593798960000000022e+02 1.200000000000000025e-02
1.606056499999999971e+02 1.400000000000000029e-02
1.607814679999999896e+02 1.600000000000000033e-02
1.740145960000000116e+02 1.800000000000000211e-02
1.755995269999999948e+02 2.000000000000000389e-02
1.761958740000000034e+02 2.199999999999999872e-02
1.772406249999999943e+02 2.400000000000000050e-02
1.800719589999999926e+02 2.600000000000000228e-02
1.840628629999999930e+02 2.800000000000000405e-02
1.852339780000000076e+02 2.999999999999999889e-02
1.853944439999999929e+02 3.200000000000000067e-02
1.859534510000000012e+02 3.400000000000000244e-02
1.872201230000000010e+02 3.600000000000000422e-02
1.875790920000000028e+02 3.800000000000000600e-02
1.878007120000000043e+02 4.000000000000000083e-02
1.885573620000000119e+02 4.200000000000000261e-02
1.900759879999999953e+02 4.400000000000000439e-02
1.901462370000000135e+02 4.599999999999999922e-02
1.911939230000000123e+02 4.800000000000000100e-02
1.942966610000000003e+02 5.000000000000000278e-02
1.943339740000000120e+02 5.200000000000000455e-02
1.953892060000000015e+02 5.400000000000000633e-02
1.959966479999999933e+02 5.600000000000000117e-02
1.963290419999999870e+02 5.800000000000000294e-02
1.966673289999999952e+02 6.000000000000000472e-02
1.968078490000000045e+02 6.199999999999999956e-02
1.974347199999999987e+02 6.400000000000000133e-02
1.987599270000000047e+02 6.600000000000000311e-02
1.988180360000000064e+02 6.800000000000000488e-02
1.996751549999999895e+02 7.000000000000000666e-02
1.997706440000000043e+02 7.200000000000000844e-02
2.000805929999999933e+02 7.400000000000001021e-02
2.008500410000000045e+02 7.599999999999999811e-02
2.010869720000000029e+02 7.799999999999999989e-02
2.013039789999999982e+02 8.000000000000000167e-02
2.015022720000000049e+02 8.200000000000000344e-02
2.019715439999999944e+02 8.400000000000000522e-02
2.019787579999999991e+02 8.600000000000000699e-02
2.022657660000000135e+02 8.800000000000000877e-02
2.032096750000000043e+02 8.999999999999999667e-02
2.034134970000000067e+02 9.199999999999999845e-02
2.034260879999999929e+02 9.400000000000000022e-02
2.036848599999999863e+02 9.600000000000000200e-02
2.037562159999999949e+02 9.800000000000000377e-02
2.037587780000000066e+02 1.000000000000000056e-01
2.038059680000000071e+02 1.020000000000000073e-01
2.039002659999999878e+02 1.040000000000000091e-01
2.039097610000000032e+02 1.060000000000000109e-01
2.039974379999999883e+02 1.079999999999999988e-01
2.040448920000000044e+02 1.100000000000000006e-01
2.040748120000000085e+02 1.120000000000000023e-01
2.040810899999999890e+02 1.140000000000000041e-01
2.041604529999999897e+02 1.160000000000000059e-01
2.041630059999999958e+02 1.180000000000000077e-01
2.043866120000000137e+02 1.200000000000000094e-01
2.044078609999999969e+02 1.219999999999999973e-01
2.044396240000000091e+02 1.239999999999999991e-01
2.044429599999999994e+02 1.260000000000000009e-01
2.045712340000000040e+02 1.280000000000000027e-01
2.046385310000000004e+02 1.300000000000000044e-01
2.057253420000000119e+02 1.320000000000000062e-01
2.068173549999999921e+02 1.340000000000000080e-01
2.084056099999999958e+02 1.360000000000000098e-01
2.085299929999999904e+02 1.380000000000000115e-01
2.086254250000000070e+02 1.400000000000000133e-01
2.090849880000000098e+02 1.420000000000000151e-01
2.096692779999999914e+02 1.440000000000000169e-01
2.097088489999999865e+02 1.460000000000000187e-01
2.100277910000000077e+02 1.479999999999999927e-01
2.101473009999999988e+02 1.499999999999999944e-01
2.102322149999999965e+02 1.519999999999999962e-01
2.102807830000000138e+02 1.539999999999999980e-01
2.109083320000000015e+02 1.559999999999999998e-01
2.112703060000000050e+02 1.580000000000000016e-01
2.117339020000000005e+02 1.600000000000000033e-01
2.118554090000000087e+02 1.620000000000000051e-01
2.119819270000000131e+02 1.640000000000000069e-01
2.123154749999999922e+02 1.660000000000000087e-01
2.123205749999999910e+02 1.680000000000000104e-01
2.123993849999999952e+02 1.700000000000000122e-01
2.131456970000000126e+02 1.720000000000000140e-01
2.134339630000000056e+02 1.740000000000000158e-01
2.138210149999999885e+02 1.760000000000000175e-01
2.139432850000000030e+02 1.779999999999999916e-01
2.139673099999999977e+02 1.799999999999999933e-01
2.139987659999999892e+02 1.819999999999999951e-01
2.140191189999999892e+02 1.839999999999999969e-01
2.140645509999999945e+02 1.859999999999999987e-01
2.142483410000000106e+02 1.880000000000000004e-01
2.143163790000000120e+02 1.900000000000000022e-01
2.143998799999999960e+02 1.920000000000000040e-01
2.144042780000000050e+02 1.940000000000000058e-01
2.155021639999999934e+02 1.960000000000000075e-01
2.157311709999999891e+02 1.980000000000000093e-01
2.158804440000000113e+02 2.000000000000000111e-01
2.160433020000000113e+02 2.020000000000000129e-01
2.163221550000000093e+02 2.040000000000000147e-01
2.170779330000000016e+02 2.060000000000000164e-01
2.171642109999999946e+02 2.080000000000000182e-01
2.179941819999999950e+02 2.100000000000000200e-01
2.180180060000000140e+02 2.119999999999999940e-01
2.185450130000000115e+02 2.139999999999999958e-01
2.187992260000000044e+02 2.159999999999999976e-01
2.192096490000000131e+02 2.179999999999999993e-01
2.192611919999999941e+02 2.200000000000000011e-01
2.194219689999999900e+02 2.220000000000000029e-01
2.195155599999999936e+02 2.240000000000000047e-01
2.195480949999999893e+02 2.260000000000000064e-01
2.195978029999999990e+02 2.280000000000000082e-01
2.196172520000000077e+02 2.300000000000000100e-01
2.196518450000000087e+02 2.320000000000000118e-01
2.197524479999999869e+02 2.340000000000000135e-01
2.202408670000000086e+02 2.360000000000000153e-01
2.204748659999999916e+02 2.380000000000000171e-01
2.205150629999999978e+02 2.400000000000000189e-01
2.207588709999999992e+02 2.419999999999999929e-01
2.210537050000000079e+02 2.439999999999999947e-01
2.211009789999999953e+02 2.459999999999999964e-01
2.211284330000000011e+02 2.479999999999999982e-01
2.216516650000000084e+02 2.500000000000000000e-01
2.216611269999999934e+02 2.520000000000000018e-01
2.217779150000000072e+02 2.540000000000000036e-01
2.218537359999999978e+02 2.560000000000000053e-01
2.218936919999999873e+02 2.580000000000000071e-01
2.224286040000000071e+02 2.600000000000000089e-01
2.224557360000000017e+02 2.620000000000000107e-01
2.224692609999999888e+02 2.640000000000000124e-01
2.226623679999999865e+02 2.660000000000000142e-01
