x    y
-inf 0.000000000000000000e+00
5.002495630000000233e+02 1.428571428571428570e-03
5.024829579999999964e+02 2.857142857142857140e-03
5.066357320000000186e+02 4.285714285714285927e-03
5.083621430000000032e+02 5.714285714285714281e-03
5.086877450000000067e+02 7.142857142857142634e-03
5.105844149999999786e+02 8.571428571428571855e-03
5.112245060000000194e+02 1.000000000000000021e-02
5.112493089999999825e+02 1.142857142857142856e-02
5.122773339999999962e+02 1.285714285714285691e-02
5.125239000000000260e+02 1.428571428571428527e-02
5.140002970000000460e+02 1.571428571428571536e-02
5.145985570000000280e+02 1.714285714285714371e-02
5.147304070000000138e+02 1.857142857142857206e-02
5.148432470000000194e+02 2.000000000000000042e-02
5.155857439999999769e+02 2.142857142857142877e-02
5.160366129999999885e+02 2.285714285714285712e-02
5.160741179999999986e+02 2.428571428571428548e-02
5.161012650000000122e+02 2.571428571428571383e-02
5.167524869999999737e+02 2.714285714285714218e-02
5.171324530000000550e+02 2.857142857142857054e-02
5.173920040000000427e+02 2.999999999999999889e-02
5.174240650000000414e+02 3.142857142857143071e-02
5.178225260000000389e+02 3.285714285714286254e-02
5.186874910000000227e+02 3.428571428571428742e-02
5.187311849999999822e+02 3.571428571428571924e-02
5.190326609999999619e+02 3.714285714285714413e-02
5.195069730000000163e+02 3.857142857142857595e-02
5.195487299999999777e+02 4.000000000000000083e-02
5.203060269999999718e+02 4.142857142857143266e-02
5.203459000000000287e+02 4.285714285714285754e-02
5.210803610000000390e+02 4.428571428571428936e-02
5.211604660000000422e+02 4.571428571428571425e-02
5.212500880000000052e+02 4.714285714285714607e-02
5.216370120000000270e+02 4.857142857142857789e-02
5.216554109999999582e+02 5.000000000000000278e-02
5.220834549999999581e+02 5.142857142857143460e-02
5.228130190000000539e+02 5.285714285714285948e-02
5.229882639999999583e+02 5.428571428571429131e-02
5.233565499999999702e+02 5.571428571428571619e-02
5.239561230000000478e+02 5.714285714285714801e-02
5.246965370000000348e+02 5.857142857142857290e-02
5.247699119999999766e+02 6.000000000000000472e-02
5.250808970000000500e+02 6.142857142857142960e-02
5.252019109999999955e+02 6.285714285714286143e-02
5.252406670000000304e+02 6.428571428571429325e-02
5.256083959999999706e+02 6.571428571428571119e-02
5.256939220000000432e+02 6.714285714285714302e-02
5.257325260000000071e+02 6.857142857142857484e-02
5.259529449999999997e+02 7.000000000000000666e-02
5.262527509999999893e+02 7.142857142857143848e-02
5.267582099999999627e+02 7.285714285714285643e-02
5.271944989999999507e+02 7.428571428571428825e-02
5.277941210000000183e+02 7.571428571428572007e-02
5.279616200000000390e+02 7.714285714285715190e-02
5.281114890000000059e+02 7.857142857142856984e-02
5.282999740000000202e+02 8.000000000000000167e-02
5.284931420000000344e+02 8.142857142857143349e-02
5.286037499999999909e+02 8.285714285714286531e-02
5.290617389999999887e+02 8.428571428571428326e-02
5.292414680000000544e+02 8.571428571428571508e-02
5.293815970000000561e+02 8.714285714285714690e-02
5.294589809999999943e+02 8.857142857142857872e-02
5.295520729999999503e+02 8.999999999999999667e-02
5.299394469999999728e+02 9.142857142857142849e-02
5.301771760000000313e+02 9.285714285714286031e-02
5.306506890000000567e+02 9.428571428571429214e-02
5.311890260000000126e+02 9.571428571428572396e-02
5.313261740000000373e+02 9.714285714285714191e-02
5.315624830000000429e+02 9.857142857142857373e-02
5.323535640000000058e+02 1.000000000000000056e-01
5.324494270000000142e+02 1.014285714285714374e-01
5.324829630000000407e+02 1.028571428571428553e-01
